title,amount,type,date,category,paymentMethod,description
Rent Payment,15000.00,EXPENSE,2026-03-01,housing,AUTO_DEBIT,Monthly rent
Grocery Shopping,3400.00,EXPENSE,2026-03-03,groceries,CASH,Weekly groceries
Electricity Bill,1950.00,EXPENSE,2026-03-05,utilities,ONLINE,March electricity
Internet Bill,999.00,EXPENSE,2026-03-08,utilities,CARD,Monthly internet
Grocery Shopping,2700.00,EXPENSE,2026-03-10,groceries,CASH,Weekly groceries
Gas Station,3200.00,EXPENSE,2026-03-12,transportation,CASH,Fuel for car
Freelance Project,8000.00,INCOME,2026-03-15,investments,ONLINE,Mobile app project
Restaurant Dinner,3500.00,EXPENSE,2026-03-17,dining,CARD,Birthday celebration
Movie Tickets,800.00,EXPENSE,2026-03-19,entertainment,CARD,Movie night
Grocery Shopping,3000.00,EXPENSE,2026-03-20,groceries,CASH,Weekly groceries
Gym Membership,500.00,EXPENSE,2026-03-22,healthcare,CARD,Personal training
Pharmacy,1200.00,EXPENSE,2026-03-24,healthcare,CASH,Health checkup medicines
Coffee Shop,350.00,EXPENSE,2026-03-25,dining,CASH,Coffee meetings
Monthly Salary,4500.00,INCOME,2026-04-01,income,BANK_TRANSFER,April Salary
Rent Payment,15000.00,EXPENSE,2026-04-01,housing,AUTO_DEBIT,Monthly rent
Grocery Shopping,2800.00,EXPENSE,2026-04-03,groceries,CASH,Weekly groceries
Electricity Bill,2300.00,EXPENSE,2026-04-05,utilities,ONLINE,April electricity
Mobile Data,599.00,EXPENSE,2026-04-08,utilities,MOBILE_PAYMENT,Monthly data plan
Grocery Shopping,3100.00,EXPENSE,2026-04-10,groceries,CASH,Weekly groceries
Gas Station,3600.00,EXPENSE,2026-04-12,transportation,CASH,Fuel for car
Netflix Subscription,499.00,EXPENSE,2026-04-15,entertainment,CARD,Monthly subscription
Restaurant Lunch,1500.00,EXPENSE,2026-04-17,dining,CARD,Work lunch
Grocery Shopping,2900.00,EXPENSE,2026-04-20,groceries,CASH,Weekly groceries
Freelance Income,3500.00,INCOME,2026-04-22,investments,ONLINE,Logo design
Book Purchase,850.00,EXPENSE,2026-04-24,education,ONLINE,Programming books
Pharmacy,650.00,EXPENSE,2026-04-26,healthcare,CASH,Medicines
Uber Ride,450.00,EXPENSE,2026-04-28,transportation,ONLINE,City ride
Monthly Salary,4500.00,INCOME,2026-05-01,income,BANK_TRANSFER,May Salary
Rent Payment,15000.00,EXPENSE,2026-05-01,housing,AUTO_DEBIT,Monthly rent
Grocery Shopping,3200.00,EXPENSE,2026-05-03,groceries,CASH,Weekly groceries
Electricity Bill,2050.00,EXPENSE,2026-05-05,utilities,ONLINE,May electricity
Water Bill,700.00,EXPENSE,2026-05-07,utilities,ONLINE,Monthly water bill
Grocery Shopping,2800.00,EXPENSE,2026-05-10,groceries,CASH,Weekly groceries
Gas Station,3400.00,EXPENSE,2026-05-12,transportation,CASH,Fuel for car
Youtube Premium,299.00,EXPENSE,2026-05-14,entertainment,CARD,Monthly subscription
Restaurant Dinner,2000.00,EXPENSE,2026-05-15,dining,CARD,Anniversary dinner
Grocery Shopping,3100.00,EXPENSE,2026-05-17,groceries,CASH,Weekly groceries
Stock Dividend,1200.00,INCOME,2026-05-20,investments,BANK_TRANSFER,Q2 dividend
Freelance Project,6000.00,INCOME,2026-05-22,investments,ONLINE,Consulting project
Gym Membership,3000.00,EXPENSE,2026-05-24,healthcare,ONLINE,personal trainer
Pharmacy,550.00,EXPENSE,2026-05-26,healthcare,CASH,Vitamins
Monthly Salary,4500.00,INCOME,2026-06-01,income,BANK_TRANSFER,June Salary
Rent Payment,15000.00,EXPENSE,2026-06-01,housing,AUTO_DEBIT,Monthly rent
Grocery Shopping,3500.00,EXPENSE,2026-06-03,groceries,CASH,Weekly groceries
Electricity Bill,2800.00,EXPENSE,2026-06-05,utilities,ONLINE,June electricity bill
Internet Bill,999.00,EXPENSE,2026-06-08,utilities,CARD,Monthly internet
Grocery Shopping,3000.00,EXPENSE,2026-06-10,groceries,CASH,Weekly groceries
Gas Station,4000.00,EXPENSE,2026-06-12,transportation,CASH,Summer road trip
Freelance Income,4500.00,INCOME,2026-06-15,investments,ONLINE,Website project
Restaurant Brunch,1800.00,EXPENSE,2026-06-17,dining,CARD,Weekend brunch
Movie Tickets,1200.00,EXPENSE,2026-06-19,entertainment,CARD,Family movie
Grocery Shopping,2800.00,EXPENSE,2026-06-20,groceries,CASH,Weekly groceries
Air Conditioner Service,2500.00,EXPENSE,2026-06-22,utilities,ONLINE,AC maintenance
Pharmacy,750.00,EXPENSE,2026-06-24,healthcare,CASH,Medicines
Uber Ride,600.00,EXPENSE,2026-06-26,transportation,ONLINE,Airport pickup
Monthly Salary,4500.00,INCOME,2026-07-01,income,BANK_TRANSFER,July Salary
Rent Payment,15000.00,EXPENSE,2026-07-01,housing,AUTO_DEBIT,Monthly rent
Grocery Shopping,3200.00,EXPENSE,2026-07-03,groceries,CASH,Weekly groceries
Electricity Bill,3200.00,EXPENSE,2026-07-05,utilities,ONLINE,July peak electricity
Mobile Data,599.00,EXPENSE,2026-07-08,utilities,MOBILE_PAYMENT,Monthly data plan
Grocery Shopping,2900.00,EXPENSE,2026-07-10,groceries,CASH,Weekly groceries
Gas Station,3800.00,EXPENSE,2026-07-12,transportation,CASH,Fuel for car
Netflix Subscription,499.00,EXPENSE,2026-07-15,entertainment,CARD,Monthly subscription
Restaurant Lunch,1600.00,EXPENSE,2026-07-17,dining,CARD,Work lunch
Grocery Shopping,3100.00,EXPENSE,2026-07-20,groceries,CASH,Weekly groceries
Freelance Project,7000.00,INCOME,2026-07-22,investments,ONLINE,E-commerce website
Gym Membership,2500.00,EXPENSE,2026-07-24,healthcare,CARD,Monthly gym
Pharmacy,450.00,EXPENSE,2026-07-26,healthcare,CASH,Medicines
Coffee Shop,400.00,EXPENSE,2026-07-28,dining,CASH,Team coffee
Monthly Salary,4500.00,INCOME,2026-08-01,income,BANK_TRANSFER,August Salary
Rent Payment,15000.00,EXPENSE,2026-08-01,housing,AUTO_DEBIT,Monthly rent
Grocery Shopping,3400.00,EXPENSE,2026-08-03,groceries,CASH,Weekly groceries
Electricity Bill,2950.00,EXPENSE,2026-08-05,utilities,ONLINE,August electricity
Water Bill,750.00,EXPENSE,2026-08-07,utilities,ONLINE,Monthly water bill
Grocery Shopping,3000.00,EXPENSE,2026-08-10,groceries,CASH,Weekly groceries
Gas Station,4200.00,EXPENSE,2026-08-12,transportation,CASH,Holiday trip fuel
Freelance Income,5000.00,INCOME,2026-08-15,investments,ONLINE,App development
Restaurant Dinner,2800.00,EXPENSE,2026-08-17,dining,CARD,Weekend dinner
Spotify Premium,299.00,EXPENSE,2026-08-18,entertainment,CARD,Monthly subscription
Grocery Shopping,2800.00,EXPENSE,2026-08-20,groceries,CASH,Weekly groceries
Online Course,7999.00,EXPENSE,2026-08-22,education,ONLINE,Advanced React course
Pharmacy,850.00,EXPENSE,2026-08-24,healthcare,CASH,Prescription medicines
Uber Ride,500.00,EXPENSE,2026-08-26,transportation,ONLINE,City ride
Monthly Salary,4500.00,INCOME,2026-09-01,income,BANK_TRANSFER,September Salary
Rent Payment,15000.00,EXPENSE,2026-09-01,housing,AUTO_DEBIT,Monthly rent
Grocery Shopping,3100.00,EXPENSE,2026-09-03,groceries,CASH,Weekly groceries
Electricity Bill,2400.00,EXPENSE,2026-09-05,utilities,ONLINE,September electricity
Internet Bill,999.00,EXPENSE,2026-09-08,utilities,CARD,Monthly internet
Grocery Shopping,2700.00,EXPENSE,2026-09-10,groceries,CASH,Weekly groceries
Gas Station,3500.00,EXPENSE,2026-09-12,transportation,CASH,Fuel for car
Freelance Project,5500.00,INCOME,2026-09-15,investments,ONLINE,UI design project
Restaurant Lunch,1400.00,EXPENSE,2026-09-17,dining,CARD,Work lunch
Netflix Subscription,499.00,EXPENSE,2026-09-19,entertainment,CARD,Monthly subscription
Grocery Shopping,2900.00,EXPENSE,2026-09-20,groceries,CASH,Weekly groceries
Stock Dividend,1800.00,INCOME,2026-09-22,investments,BANK_TRANSFER,Q3 dividend
Gym Membership,2500.00,EXPENSE,2026-09-24,healthcare,CARD,Monthly gym
Pharmacy,650.00,EXPENSE,2026-09-26,healthcare,CASH,Medicines
Monthly Salary,4500.00,INCOME,2026-10-01,income,BANK_TRANSFER,October Salary
Rent Payment,15000.00,EXPENSE,2026-10-01,housing,AUTO_DEBIT,Monthly rent
Grocery Shopping,3300.00,EXPENSE,2026-10-03,groceries,CASH,Weekly groceries
Electricity Bill,2200.00,EXPENSE,2026-10-05,utilities,ONLINE,October electricity
Mobile Data,599.00,EXPENSE,2026-10-08,utilities,MOBILE_PAYMENT,Monthly data plan
Grocery Shopping,2800.00,EXPENSE,2026-10-10,groceries,CASH,Weekly groceries
Gas Station,3400.00,EXPENSE,2026-10-12,transportation,CASH,Fuel for car
Freelance Income,6500.00,INCOME,2026-10-15,investments,ONLINE,Full stack project
Restaurant Dinner,2200.00,EXPENSE,2026-10-17,dining,CARD,Date night
Grocery Shopping,3000.00,EXPENSE,2026-10-20,groceries,CASH,Weekly groceries
Youtube Premium,299.00,EXPENSE,2026-10-22,entertainment,CARD,Monthly subscription
Amazon Purchase,4500.00,EXPENSE,2026-10-24,shopping,CARD,Electronics sale
Pharmacy,550.00,EXPENSE,2026-10-26,healthcare,CASH,Medicines
Uber Ride,450.00,EXPENSE,2026-10-28,transportation,ONLINE,Evening ride
Monthly Salary,4500.00,INCOME,2026-11-01,income,BANK_TRANSFER,November Salary
Rent Payment,15000.00,EXPENSE,2026-11-01,housing,AUTO_DEBIT,Monthly rent
Grocery Shopping,3800.00,EXPENSE,2026-11-03,groceries,CASH,Big stock up
Electricity Bill,2100.00,EXPENSE,2026-11-05,utilities,ONLINE,November electricity
Water Bill,700.00,EXPENSE,2026-11-07,utilities,ONLINE,Monthly water bill
Grocery Shopping,3200.00,EXPENSE,2026-11-10,groceries,CASH,Weekly groceries
Gas Station,3600.00,EXPENSE,2026-11-12,transportation,CASH,Fuel for car
Black Friday Sale,8500.00,EXPENSE,2026-11-11,shopping,CARD,Holiday shopping
Freelance Project,8000.00,INCOME,2026-11-15,investments,ONLINE,Holiday project
Restaurant Brunch,2000.00,EXPENSE,2026-11-17,dining,CARD,Weekend brunch
Grocery Shopping,3500.00,EXPENSE,2026-11-20,groceries,CASH,Thanksgiving prep
Netflix Subscription,499.00,EXPENSE,2026-11-22,entertainment,CARD,Monthly subscription
Pharmacy,950.00,EXPENSE,2026-11-24,healthcare,CASH,Holiday medicines
Gym Membership,3000.00,EXPENSE,2026-11-26,healthcare,ONLINE,Holiday deals
Monthly Salary,4500.00,INCOME,2026-12-01,income,BANK_TRANSFER,December Salary
Rent Payment,15000.00,EXPENSE,2026-12-01,housing,AUTO_DEBIT,Monthly rent
Grocery Shopping,4000.00,EXPENSE,2026-12-03,groceries,CASH,Holiday stock up
Electricity Bill,2500.00,EXPENSE,2026-12-05,utilities,ONLINE,December electricity
Internet Bill,999.00,EXPENSE,2026-12-08,utilities,CARD,Monthly internet
Grocery Shopping,3500.00,EXPENSE,2026-12-10,groceries,CASH,Weekly groceries
Gas Station,4000.00,EXPENSE,2026-12-12,transportation,CASH,Holiday travel
Freelance Income,9000.00,INCOME,2026-12-15,investments,ONLINE,Year end project
Christmas Shopping,12000.00,EXPENSE,2026-12-18,shopping,CARD,Gift shopping
Restaurant Dinner,4500.00,EXPENSE,2026-12-20,dining,CARD,Christmas dinner
Movie Night,1800.00,EXPENSE,2026-12-22,entertainment,CARD,Holiday movie
Grocery Shopping,5000.00,EXPENSE,2026-12-24,groceries,CASH,Christmas dinner prep
Pharmacy,1200.00,EXPENSE,2026-12-26,healthcare,CASH,Winter medicines
Uber Ride,800.00,EXPENSE,2026-12-28,transportation,ONLINE,New year eve
New Year Celebration,5000.00,EXPENSE,2026-12-31,entertainment,CARD,New year party
