title,amount,type,date,category,paymentMethod,description
Grocery Shopping,135.00,EXPENSE,2026-04-29,groceries,CASH,Monthly bulk shopping
Snacks,12.50,EXPENSE,2026-04-30,dining,CASH,Snacks
Salary,3500.00,INCOME,2026-05-01,income,BANK_TRANSFER,Monthly salary
Rent,1200.00,EXPENSE,2026-05-01,housing,BANK_TRANSFER,Monthly rent
Internet Bill,89.99,EXPENSE,2026-05-02,utilities,AUTO_DEBIT,Monthly internet
Electric Bill,165.00,EXPENSE,2026-05-03,utilities,BANK_TRANSFER,Monthly electricity
Gas Bill,48.00,EXPENSE,2026-05-04,utilities,BANK_TRANSFER,Monthly gas
Water Bill,35.00,EXPENSE,2026-05-05,utilities,BANK_TRANSFER,Monthly water
Grocery Shopping,145.50,EXPENSE,2026-05-06,groceries,CASH,Weekly groceries
Freelance Project,1200.00,INCOME,2026-05-07,income,BANK_TRANSFER,Mobile app project
Netflix Subscription,15.99,EXPENSE,2026-05-08,entertainment,CARD,Monthly subscription
Spotify Subscription,9.99,EXPENSE,2026-05-08,entertainment,CARD,Monthly subscription
Amazon Prime,12.99,EXPENSE,2026-05-08,entertainment,CARD,Monthly subscription
Gym Membership,50.00,EXPENSE,2026-05-09,healthcare,AUTO_DEBIT,Monthly gym
Uber Ride,22.00,EXPENSE,2026-05-10,transportation,MOBILE_PAYMENT,Airport drop
Lunch Date,75.00,EXPENSE,2026-05-11,dining,CARD,Restaurant lunch
Movie Tickets,28.00,EXPENSE,2026-05-12,entertainment,CARD,Weekend movie
Gas Station,58.00,EXPENSE,2026-05-13,transportation,CARD,Fuel refill
Pharmacy,35.00,EXPENSE,2026-05-14,healthcare,CARD,Vitamins
Consulting Fee,1500.00,INCOME,2026-05-15,income,BANK_TRANSFER,Consulting project
Salary,3500.00,INCOME,2026-05-15,income,BANK_TRANSFER,Monthly salary
Apple Purchase,199.00,EXPENSE,2026-05-16,shopping,CARD,Accessories
Grocery Shopping,105.25,EXPENSE,2026-05-17,groceries,CASH,Weekly groceries
Phone Bill,55.00,EXPENSE,2026-05-18,utilities,AUTO_DEBIT,Monthly phone
Coffee Shop,6.50,EXPENSE,2026-05-19,dining,CASH,Morning coffee
Lunch Break,18.00,EXPENSE,2026-05-20,dining,CASH,Work lunch
Uber Ride,15.00,EXPENSE,2026-05-21,transportation,MOBILE_PAYMENT,Office commute
Car Maintenance,120.00,EXPENSE,2026-05-22,transportation,CARD,Oil change
Health Insurance,250.00,EXPENSE,2026-05-23,healthcare,AUTO_DEBIT,Monthly premium
Grocery Shopping,125.75,EXPENSE,2026-05-24,groceries,CASH,Weekly groceries
Concert Tickets,150.00,EXPENSE,2026-05-25,entertainment,CARD,Live concert
Dinner Party,200.00,EXPENSE,2026-05-26,dining,CARD,House party supplies
Online Course,79.99,EXPENSE,2026-05-27,education,CARD,Design course
Book Purchase,30.00,EXPENSE,2026-05-28,shopping,CARD,Novel
Gas Station,62.00,EXPENSE,2026-05-29,transportation,CARD,Fuel refill
Grocery Shopping,155.00,EXPENSE,2026-05-30,groceries,CASH,Monthly shopping
Snacks and Drinks,25.00,EXPENSE,2026-05-31,dining,CASH,Weekend snacks
Salary,3500.00,INCOME,2026-06-01,income,BANK_TRANSFER,Monthly salary
Rent,1200.00,EXPENSE,2026-06-01,housing,BANK_TRANSFER,Monthly rent
Internet Bill,89.99,EXPENSE,2026-06-02,utilities,AUTO_DEBIT,Monthly internet
Electric Bill,175.00,EXPENSE,2026-06-03,utilities,BANK_TRANSFER,Monthly electricity
Gas Bill,52.00,EXPENSE,2026-06-04,utilities,BANK_TRANSFER,Monthly gas
Water Bill,35.00,EXPENSE,2026-06-05,utilities,BANK_TRANSFER,Monthly water
Grocery Shopping,138.50,EXPENSE,2026-06-06,groceries,CASH,Weekly groceries
Freelance Project,900.00,INCOME,2026-06-07,income,BANK_TRANSFER,Logo design
Netflix Subscription,15.99,EXPENSE,2026-06-08,entertainment,CARD,Monthly subscription
Spotify Subscription,9.99,EXPENSE,2026-06-08,entertainment,CARD,Monthly subscription
Amazon Prime,12.99,EXPENSE,2026-06-08,entertainment,CARD,Monthly subscription
Gym Membership,50.00,EXPENSE,2026-06-09,healthcare,AUTO_DEBIT,Monthly gym
Uber Ride,28.00,EXPENSE,2026-06-10,transportation,MOBILE_PAYMENT,Airport trip
Lunch Date,90.00,EXPENSE,2026-06-11,dining,CARD,Fine dining
Movie Tickets,32.00,EXPENSE,2026-06-12,entertainment,CARD,IMAX show
Gas Station,65.00,EXPENSE,2026-06-13,transportation,CARD,Fuel refill
Pharmacy,42.00,EXPENSE,2026-06-14,healthcare,CARD,Prescription
Part-time Job,600.00,INCOME,2026-06-15,income,BANK_TRANSFER,Weekend work
Salary,3500.00,INCOME,2026-06-15,income,BANK_TRANSFER,Monthly salary
New Laptop,999.00,EXPENSE,2026-06-16,shopping,CARD,Work laptop
Grocery Shopping,115.75,EXPENSE,2026-06-17,groceries,CASH,Weekly groceries
Phone Bill,55.00,EXPENSE,2026-06-18,utilities,AUTO_DEBIT,Monthly phone
Coffee Shop,7.50,EXPENSE,2026-06-19,dining,CASH,Morning coffee
Lunch Break,20.00,EXPENSE,2026-06-20,dining,CASH,Work lunch
Uber Ride,16.00,EXPENSE,2026-06-21,transportation,MOBILE_PAYMENT,Office commute
Car Insurance,180.00,EXPENSE,2026-06-22,other,BANK_TRANSFER,Monthly premium
Health Insurance,250.00,EXPENSE,2026-06-23,healthcare,AUTO_DEBIT,Monthly premium
Grocery Shopping,132.25,EXPENSE,2026-06-24,groceries,CASH,Weekly groceries
Spa Treatment,80.00,EXPENSE,2026-06-25,healthcare,CARD,Spa day
Dinner with Friends,110.00,EXPENSE,2026-06-26,dining,CARD,Group dinner
Online Course,59.99,EXPENSE,2026-06-27,education,CARD,Marketing course
Book Purchase,22.00,EXPENSE,2026-06-28,shopping,CARD, Cookbook
Gas Station,68.00,EXPENSE,2026-06-29,transportation,CARD,Fuel refill
Grocery Shopping,165.00,EXPENSE,2026-06-30,groceries,CASH,Monthly bulk
Snacks,18.00,EXPENSE,2026-06-30,dining,CASH,Movie snacks
Electric Bill,185.00,EXPENSE,2026-07-01,utilities,BANK_TRANSFER,Monthly electricity
Gas Bill,55.00,EXPENSE,2026-07-02,utilities,BANK_TRANSFER,Monthly gas
Water Bill,38.00,EXPENSE,2026-07-03,utilities,BANK_TRANSFER,Monthly water
Internet Bill,89.99,EXPENSE,2026-07-04,utilities,AUTO_DEBIT,Monthly internet
Salary,3500.00,INCOME,2026-07-05,income,BANK_TRANSFER,Monthly salary
Rent,1200.00,EXPENSE,2026-07-05,housing,BANK_TRANSFER,Monthly rent
Grocery Shopping,142.50,EXPENSE,2026-07-06,groceries,CASH,Weekly groceries
Freelance Project,1100.00,INCOME,2026-07-07,income,BANK_TRANSFER,Website project
Netflix Subscription,15.99,EXPENSE,2026-07-08,entertainment,CARD,Monthly subscription
Spotify Subscription,9.99,EXPENSE,2026-07-08,entertainment,CARD,Monthly subscription
Amazon Prime,12.99,EXPENSE,2026-07-08,entertainment,CARD,Monthly subscription
Gym Membership,50.00,EXPENSE,2026-07-09,healthcare,AUTO_DEBIT,Monthly gym
Uber Ride,24.00,EXPENSE,2026-07-10,transportation,MOBILE_PAYMENT,Airport ride
Lunch Date,85.00,EXPENSE,2026-07-11,dining,CARD,Brunch
Movie Tickets,35.00,EXPENSE,2026-07-12,entertainment,CARD,Sunday matinee
Gas Station,70.00,EXPENSE,2026-07-13,transportation,CARD,Fuel refill
Pharmacy,28.00,EXPENSE,2026-07-14,healthcare,CARD,First aid
Bonus,750.00,INCOME,2026-07-15,income,BANK_TRANSFER,Quarterly bonus
Salary,3500.00,INCOME,2026-07-15,income,BANK_TRANSFER,Monthly salary
Smart Watch,299.00,EXPENSE,2026-07-16,shopping,CARD,Fitness tracker
Grocery Shopping,128.75,EXPENSE,2026-07-17,groceries,CASH,Weekly groceries
Phone Bill,55.00,EXPENSE,2026-07-18,utilities,AUTO_DEBIT,Monthly phone
Coffee Shop,8.00,EXPENSE,2026-07-19,dining,CASH,Morning coffee
Lunch Break,22.00,EXPENSE,2026-07-20,dining,CASH,Work lunch
Uber Ride,19.00,EXPENSE,2026-07-21,transportation,MOBILE_PAYMENT,Office commute
Car Wash,25.00,EXPENSE,2026-07-22,transportation,CARD,Car detail
Health Insurance,250.00,EXPENSE,2026-07-23,healthcare,AUTO_DEBIT,Monthly premium
Grocery Shopping,145.50,EXPENSE,2026-07-24,groceries,CASH,Weekly groceries
Concert Tickets,180.00,EXPENSE,2026-07-25,entertainment,CARD,Music festival
Dinner Party,250.00,EXPENSE,2026-07-26,dining,CARD,Birthday dinner
Online Course,99.99,EXPENSE,2026-07-27,education,CARD,Data science course
Book Purchase,35.00,EXPENSE,2026-07-28,shopping,CARD,Programming book
Gas Station,72.00,EXPENSE,2026-07-29,transportation,CARD,Fuel refill
Grocery Shopping,175.00,EXPENSE,2026-07-30,groceries,CASH,Monthly shopping
Snacks,20.00,EXPENSE,2026-07-31,dining,CASH,Weekend treats
Electric Bill,190.00,EXPENSE,2026-08-01,utilities,BANK_TRANSFER,Monthly electricity
Gas Bill,58.00,EXPENSE,2026-08-02,utilities,BANK_TRANSFER,Monthly gas
Water Bill,38.00,EXPENSE,2026-08-03,utilities,BANK_TRANSFER,Monthly water
Internet Bill,89.99,EXPENSE,2026-08-04,utilities,AUTO_DEBIT,Monthly internet
Salary,3500.00,INCOME,2026-08-05,income,BANK_TRANSFER,Monthly salary
Rent,1200.00,EXPENSE,2026-08-05,housing,BANK_TRANSFER,Monthly rent
Grocery Shopping,148.50,EXPENSE,2026-08-06,groceries,CASH,Weekly groceries
Freelance Project,950.00,INCOME,2026-08-07,income,BANK_TRANSFER,App development
Netflix Subscription,15.99,EXPENSE,2026-08-08,entertainment,CARD,Monthly subscription
Spotify Subscription,9.99,EXPENSE,2026-08-08,entertainment,CARD,Monthly subscription
Amazon Prime,12.99,EXPENSE,2026-08-08,entertainment,CARD,Monthly subscription
Gym Membership,50.00,EXPENSE,2026-08-09,healthcare,AUTO_DEBIT,Monthly gym
Uber Ride,26.00,EXPENSE,2026-08-10,transportation,MOBILE_PAYMENT,Airport trip
Lunch Date,100.00,EXPENSE,2026-08-11,dining,CARD,Fine dining
Movie Tickets,38.00,EXPENSE,2026-08-12,entertainment,CARD,Premium show
Gas Station,75.00,EXPENSE,2026-08-13,transportation,CARD,Fuel refill
Pharmacy,45.00,EXPENSE,2026-08-14,healthcare,CARD,Medicines
Side Project Income,450.00,INCOME,2026-08-15,income,BANK_TRANSFER,Side project
Salary,3500.00,INCOME,2026-08-15,income,BANK_TRANSFER,Monthly salary
Home Decor,180.00,EXPENSE,2026-08-16,shopping,CARD,Living room decor
Grocery Shopping,135.25,EXPENSE,2026-08-17,groceries,CASH,Weekly groceries
Phone Bill,55.00,EXPENSE,2026-08-18,utilities,AUTO_DEBIT,Monthly phone
Coffee Shop,9.00,EXPENSE,2026-08-19,dining,CASH,Specialty coffee
Lunch Break,25.00,EXPENSE,2026-08-20,dining,CASH,Work lunch
Uber Ride,21.00,EXPENSE,2026-08-21,transportation,MOBILE_PAYMENT,Office commute
Car Repair,350.00,EXPENSE,2026-08-22,transportation,CARD,Brake pads
Health Insurance,250.00,EXPENSE,2026-08-23,healthcare,AUTO_DEBIT,Monthly premium
Grocery Shopping,152.75,EXPENSE,2026-08-24,groceries,CASH,Weekly groceries
Spa Treatment,120.00,EXPENSE,2026-08-25,healthcare,CARD,Massage
Dinner with Friends,130.00,EXPENSE,2026-08-26,dining,CARD,Group dinner
Online Course,129.99,EXPENSE,2026-08-27,education,CARD,Cloud certification
Book Purchase,40.00,EXPENSE,2026-08-28,shopping,CARD,Tech manual
Gas Station,78.00,EXPENSE,2026-08-29,transportation,CARD,Fuel refill
Grocery Shopping,185.00,EXPENSE,2026-08-30,groceries,CASH,Monthly shopping
Snacks,22.00,EXPENSE,2026-08-31,dining,CASH,Movie snacks
